row, column, x rotation, y rotation
1,39,-58.000000,18.000000
1,40,-58.000000,20.000000
1,41,-58.000000,22.000000
1,42,-58.000000,24.000000
1,43,-58.000000,26.000000
1,44,-58.000000,28.000000
1,45,-58.000000,30.000000
1,46,-58.000000,32.000000
1,47,-58.000000,34.000000
1,48,-58.000000,36.000000
1,49,-58.000000,38.000000
1,50,-58.000000,40.000000
1,51,-58.000000,42.000000
1,52,-58.000000,44.000000
1,53,-58.000000,46.000000
1,54,-58.000000,48.000000
1,55,-58.000000,50.000000
1,56,-58.000000,52.000000
1,57,-58.000000,54.000000
1,58,-58.000000,56.000000
1,59,-58.000000,58.000000
1,60,-58.000000,60.000000
2,0,-56.000000,-60.000000
2,1,-56.000000,-58.000000
2,2,-56.000000,-56.000000
2,3,-56.000000,-54.000000
2,4,-56.000000,-52.000000
2,5,-56.000000,-50.000000
2,6,-56.000000,-48.000000
2,7,-56.000000,-46.000000
2,8,-56.000000,-44.000000
2,9,-56.000000,-42.000000
2,10,-56.000000,-40.000000
2,11,-56.000000,-38.000000
2,12,-56.000000,-36.000000
2,13,-56.000000,-34.000000
2,14,-56.000000,-32.000000
2,15,-56.000000,-30.000000
2,16,-56.000000,-28.000000
2,17,-56.000000,-26.000000
2,18,-56.000000,-24.000000
2,19,-56.000000,-22.000000
2,20,-56.000000,-20.000000
2,21,-56.000000,-18.000000
2,22,-56.000000,-16.000000
2,23,-56.000000,-14.000000
2,24,-56.000000,-12.000000
2,25,-56.000000,-10.000000
2,26,-56.000000,-8.000000
2,27,-56.000000,-6.000000
2,28,-56.000000,-4.000000
2,29,-56.000000,-2.000000
2,30,-56.000000,0.000000
2,31,-56.000000,2.000000
2,32,-56.000000,4.000000
2,33,-56.000000,6.000000
2,34,-56.000000,8.000000
2,35,-56.000000,10.000000
2,36,-56.000000,12.000000
2,37,-56.000000,14.000000
2,38,-56.000000,16.000000
2,39,-56.000000,18.000000
2,40,-56.000000,20.000000
2,41,-56.000000,22.000000
2,42,-56.000000,24.000000
2,43,-56.000000,26.000000
2,44,-56.000000,28.000000
2,45,-56.000000,30.000000
2,46,-56.000000,32.000000
2,47,-56.000000,34.000000
2,48,-56.000000,36.000000
2,49,-56.000000,38.000000
2,50,-56.000000,40.000000
2,51,-56.000000,42.000000
2,52,-56.000000,44.000000
2,53,-56.000000,46.000000
2,54,-56.000000,48.000000
2,55,-56.000000,50.000000
2,56,-56.000000,52.000000
2,57,-56.000000,54.000000
2,58,-56.000000,56.000000
2,59,-56.000000,58.000000
2,60,-56.000000,60.000000
3,0,-54.000000,-60.000000
3,1,-54.000000,-58.000000
3,2,-54.000000,-56.000000
3,3,-54.000000,-54.000000
3,4,-54.000000,-52.000000
3,5,-54.000000,-50.000000
3,6,-54.000000,-48.000000
3,7,-54.000000,-46.000000
3,8,-54.000000,-44.000000
3,9,-54.000000,-42.000000
3,10,-54.000000,-40.000000
3,11,-54.000000,-38.000000
3,12,-54.000000,-36.000000
3,13,-54.000000,-34.000000
3,14,-54.000000,-32.000000
3,15,-54.000000,-30.000000
3,16,-54.000000,-28.000000
3,17,-54.000000,-26.000000
3,18,-54.000000,-24.000000
3,19,-54.000000,-22.000000
3,20,-54.000000,-20.000000
